249,"Spyro, I've found an egg, but only Sparx will be able to reach it. There's a small hole that leads to a crawdad farm. I can take him there if he's ready. &Enter Crawdad Farm bonus world? &Yes. &No.","Спайро, я нашла яйцо, но только Спаркс может достать его. Есть небольшая нора, что ведет на ферму раков. Я могу провести его туда, если он готов. &Войти в потайной мир - Ферму Раков? &Да. &Нет."
403,"Sparx has already recovered the egg from the crawdad farm, but he can go back if he wants to practice. &Return to Crawdad Farm bonus world? &Yes. &No.","Спаркс уже вернул яйцо из фермы раков, но он может зайти туда еще раз, если хочет потренироваться. &Вернуться в потайной мир Ферму Раков? &Да. &Нет."
127,Nice work Sparx! You've beaten the Crawdad King and found the lost egg. Not only that but some of the dragon magic seems to have rubbed off on you. Now you can pick up gems when they're even further away from Spyro.,"Отлично, Спаркс! Ты одолел Короля-Рака и нашел потерянное яйцо. Но и это еще не все! Кажется, на тебе отразилась магия драконов. Теперь ты будешь подбирать даже те камни, что далеко от Спайро."
291,"Your game camera is currently in 'Passive' mode. This mode requires you to control the camera yourself, and moves more slowly.","Камера сейчас в пассивном режиме. Это означает, что управлять камерой нужно самостоятельно, и она поворачивается медленно."
321,"If you like, I can change the game camera to 'Active' mode. In 'Active' mode, the camera moves much faster. &Change game camera to 'Active' mode?&No.&Yes.","Если хочешь, я могу переключить камеру в активный режим. Тогда она станет двигаться гораздо быстрее."
1174,"OK, I won't change it.","Хорошо, оставлю так."
252,"Your camera is now in 'Active' mode, and will move faster. If you don't like it, come back and see me, or change it yourself by using the Options Menu.","Твоя камера теперь в активном режиме и поворачивается быстрее. Если тебя это не устроит, вернись ко мне или сам измени режим в настройках."
1103,"Do you like the 'Active' camera mode? If not, I can set it back to the 'Passive' mode. &Change game camera to 'Passive' mode?&No.&Yes.","Как тебе активный режим? Если он тебя не устраивает, то то можешь поменять камеру на пассивную. &Изменить режим камеры на пассивный?&Нет.&Да."
330,"OK, I won't change it. Remember, you can change the camera mode yourself by using the Options Menu.","Хорошо, я не буду его изменять, но ты всегда можешь переключить режим камеры в настройках."
402,"The game camera is now in 'Passive' mode. If you want me to change it again, just ask!",Игровая камера теперь в пассивном режиме. Захочешь поменять - просто попроси!
106,"Hi Spyro. To look left or right, press the @4L2@0 or @4R2@0 buttons. To quickly center the camera behind you, press the @4L1@0 or @4R1@0 button. You can look all around by holding the } button down. &[Use @0L2@4 and @0R2@4 buttons to rotate camera. &[Press @0L1@4 or @0R1@4 to center the camera. &[Hold } to look around.","Привет, Спайро. Захочешь посмотреть влево или вправо - нажимай на @4L2@0 или @4R2@0. Чтобы быстро поставить камеру позади себя, нажми @4L1@0 или @4R1@0. Осматривайся с помощью }. &Поворачивай камеру кнопками @0L2@4 и @0R2@4. &\[Нажми @0L1@4 или @0R1@4, чтобы камера смотрела прямо. &\[Держи }, чтобы осмотреться."
290,"This is a superfly powerup Spyro. Whenever you walk through any powerup that looks like this one, it will allow you to fly for a while...","Спайро, это - усилитель полёта. Если ты шагнёшь сквозь любой такой, то сможешь немного полетать…"
1030,"I want to repay you for saving me from that octopus. We can help you use this hot air balloon, if you just bring back someone from each of the other worlds.","Ты спас меня от осьминога, и в ответ я бы хотел помочь тебе с воздушным шаром. Только приведи кого-нибудь из оставшихся миров."
561,Let's head on over to the balloon!,Погнали к шару!
1161,"The balloon's all ready, sir! Just jump on!","Шар абсолютно готов, сэр! Просто запрыгивайте! "
167,"Here I was, about to go for a nice swim at Shell Beach, and my portal just disappeared right in front of me. If you go find some more of those dragon eggs, I bet this portal would turn on again. &[^^ eggs needed to open portal.","Я было собирался искупаться на Пляже Ракушек, как мой портал внезапно исчез прямо передо мной! Может, если ты найдешь больше драконьих яиц, он снова появится. &\[^^ яиц откроют портал."
